2024 ASA Spring Elections

SubmissionId,"Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 1","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 2","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 3","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 4","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 5","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 6","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 1","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 2","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 3","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 4","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 5","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 1","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 2","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 3","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 4","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 5","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 7","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 1","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 2","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 3","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 4","Please select and option for President/Vice President","Please select your choice for Secretary. ","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 1","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 2","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 3","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 4"
"7187173","Elijah Schipper","","","","","","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","Carson Steichen","","","",""
"7187199","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Anna Pirrung","Natneal Goitom","Abigail Grace Smith","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187347","","","","","","","","","","","","","","","","","","","","Avery Gilman","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187539","Elijah Schipper","May Utonwa Oji","Amy Kim","Em Powers","Juliann Seeley","Nyamal Changson","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7187587","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","Surafel Zeleke","Pierce Cunningham","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187588","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","","","","","","","","","","","","","","Avery Gilman","Domanic Dick","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Anushra Shrestha","Hiwote Hailu","Nardos Semagne"
"7187780","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Amy Kim","Em Powers","","","","","","","Gracen Juffer","Surafel Zeleke","Issie Ventura","Pierce Cunningham","Jackson Paslay","Asmeret Abebe","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187936","Amy Kim","","","","","Em Powers","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7187949","Elijah Schipper","Juliann Seeley","Em Powers","Amy Kim","May Utonwa Oji","Nyamal Changson","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187961","Nyamal Changson","Amy Kim","Elijah Schipper","Em Powers","Juliann Seeley","May Utonwa Oji","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Nardos Semagne","Hiwote Hailu","Anushra Shrestha"
"7187976","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Jackson Paslay","Pierce Cunningham","Issie Ventura","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7187981","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","Amy Kim","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7188030","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7188074","Em Powers","Amy Kim","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Elijah Schipper","","","","","","","Asmeret Abebe","Pierce Cunningham","Gracen Juffer","Susana Gebrekidan","Surafel Zeleke","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7188104","Amy Kim","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","","","","","","","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","Gracen Juffer","Issie Ventura","Jackson Paslay","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7188282","Nyamal Changson","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","May Utonwa Oji","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Elliana Pulse","Anna Pirrung","Abigail Grace Smith","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7188284","Nyamal Changson","Juliann Seeley","","","","","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","",""
"7188295","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","","","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Suyash SR Thapaliya","Nardos Semagne"
"7188361","Em Powers","Elijah Schipper","Juliann Seeley","Amy Kim","Nyamal Changson","May Utonwa Oji","","","","","","","","","","","","","","Raleigh Lunderman","Domanic Dick","Avery Gilman","Isha Hooda","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha"
"7188367","May Utonwa Oji","Nyamal Changson","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Jackson Paslay","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7188498","Em Powers","Amy Kim","Nyamal Changson","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Elliana Pulse","Natneal Goitom","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha","Nardos Semagne"
"7188553","","","","","","","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7188599","Amy Kim","Em Powers","May Utonwa Oji","","","","","","","","","","Susana Gebrekidan","Asmeret Abebe","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7188679","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","","","","","","","Surafel Zeleke","Gracen Juffer","Jackson Paslay","Issie Ventura","Pierce Cunningham","Asmeret Abebe","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7188765","Amy Kim","May Utonwa Oji","Nyamal Changson","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha"
"7188834","Amy Kim","Juliann Seeley","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","","","","","","","","","","","","","","Domanic Dick","Avery Gilman","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7188966","","","","","","","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7188995","Juliann Seeley","","","","","","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189018","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7189092","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","Asmeret Abebe","Gracen Juffer","Susana Gebrekidan","Pierce Cunningham","Jackson Paslay","Issie Ventura","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189108","Juliann Seeley","","","","","","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7189164","","","","","","","Abigail Grace Smith","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189174","Em Powers","Amy Kim","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","","","","","","","Asmeret Abebe","Issie Ventura","Pierce Cunningham","Gracen Juffer","Surafel Zeleke","Jackson Paslay","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7189183","May Utonwa Oji","Amy Kim","Nyamal Changson","Em Powers","Juliann Seeley","Elijah Schipper","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189312","May Utonwa Oji","Nyamal Changson","Elijah Schipper","Em Powers","Amy Kim","Juliann Seeley","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189317","Elijah Schipper","Nyamal Changson","Em Powers","May Utonwa Oji","Amy Kim","Juliann Seeley","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189354","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189363","Amy Kim","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","","","","","","","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","Pierce Cunningham","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7189403","Juliann Seeley","","","","","","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","Hawi Meshessha","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189447","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha"
"7189469","","","","","","","","","","","","","","","","","","","","Isha Hooda","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7189576","Amy Kim","Em Powers","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Nyamal Changson","","","","","","","Surafel Zeleke","Asmeret Abebe","Issie Ventura","Gracen Juffer","Jackson Paslay","Pierce Cunningham","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Anushra Shrestha","Nardos Semagne","Suyash SR Thapaliya"
"7189650","Nyamal Changson","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Hawi Meshessha","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Elliana Pulse","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya","Anushra Shrestha"
"7189678","Juliann Seeley","Nyamal Changson","Amy Kim","Em Powers","May Utonwa Oji","Elijah Schipper","","","","","","","Susana Gebrekidan","Surafel Zeleke","Asmeret Abebe","Pierce Cunningham","Issie Ventura","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Suyash SR Thapaliya","Nardos Semagne","Anushra Shrestha","Hiwote Hailu"
"7189842","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Amy Kim","","","","","","","Jackson Paslay","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7189846","Juliann Seeley","","","","","","Anna Pirrung","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189853","Nyamal Changson","May Utonwa Oji","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7189885","May Utonwa Oji","Em Powers","Nyamal Changson","Elijah Schipper","Amy Kim","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha","Nardos Semagne"
"7189923","Elijah Schipper","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Natneal Goitom","Hawi Meshessha","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7189959","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7190046","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Elliana Pulse","Anna Pirrung","Natneal Goitom","Abigail Grace Smith","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7190197","Nyamal Changson","May Utonwa Oji","Em Powers","","Amy Kim","Juliann Seeley","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya","Anushra Shrestha"
"7190273","Em Powers","Amy Kim","","","","","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Nardos Semagne","Hiwote Hailu",""
"7190377","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","","","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7190888","Amy Kim","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Em Powers","Juliann Seeley","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Natneal Goitom","Abigail Grace Smith","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7191292","Juliann Seeley","","","","","","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7191391","Amy Kim","Elijah Schipper","Em Powers","Nyamal Changson","May Utonwa Oji","Juliann Seeley","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Domanic Dick","Avery Gilman","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7191659","Elijah Schipper","Amy Kim","","","","","","","","","","","","","","","","","","Avery Gilman","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7191990","Nyamal Changson","Juliann Seeley","Amy Kim","May Utonwa Oji","Em Powers","Elijah Schipper","Anna Pirrung","Abigail Grace Smith","Hawi Meshessha","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7192526","Elijah Schipper","Em Powers","","","","","","","","","","","","","","","","","","Raleigh Lunderman","","","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7192606","","","","","","","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","","",""
"7192704","Amy Kim","May Utonwa Oji","Em Powers","Elijah Schipper","Juliann Seeley","Nyamal Changson","","","","","","","Issie Ventura","Pierce Cunningham","Gracen Juffer","Susana Gebrekidan","Jackson Paslay","Asmeret Abebe","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7192729","","","","","","","","","","","","","Issie Ventura","Pierce Cunningham","","","","","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7192749","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","","","","","","","","","","","","I do not want to vote for a ticket","Carson Steichen","","","",""
"7193002","","","","","","","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193024","Em Powers","May Utonwa Oji","Amy Kim","Elijah Schipper","Nyamal Changson","Juliann Seeley","","","","","","","Pierce Cunningham","Susana Gebrekidan","Surafel Zeleke","Gracen Juffer","Asmeret Abebe","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193236","Amy Kim","Em Powers","","","","","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193389","Juliann Seeley","Elijah Schipper","Amy Kim","Nyamal Changson","Em Powers","May Utonwa Oji","","","","","","","","","","","","","","Domanic Dick","Avery Gilman","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193483","Elijah Schipper","Amy Kim","","","","","","","","","","","Susana Gebrekidan","Jackson Paslay","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193486","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","May Utonwa Oji","Amy Kim","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Hawi Meshessha","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193793","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","","","","","","","Gracen Juffer","Issie Ventura","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Jackson Paslay","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7193986","Amy Kim","May Utonwa Oji","Elijah Schipper","Em Powers","Nyamal Changson","Juliann Seeley","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7194042","","","","","","","","","","","","","Pierce Cunningham","Susana Gebrekidan","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7194156","Amy Kim","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7194181","Elijah Schipper","Amy Kim","Em Powers","May Utonwa Oji","Juliann Seeley","Nyamal Changson","","","","","","","Asmeret Abebe","Susana Gebrekidan","Surafel Zeleke","Issie Ventura","Gracen Juffer","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7194527","Amy Kim","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Em Powers","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7194865","Nyamal Changson","Juliann Seeley","","","","","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Hawi Meshessha","Abigail Grace Smith","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7194878","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","Amy Kim","May Utonwa Oji","","","","","","","Gracen Juffer","Pierce Cunningham","Issie Ventura","Asmeret Abebe","Surafel Zeleke","Susana Gebrekidan","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7194972","Em Powers","","","","","","Abigail Grace Smith","","Hawi Meshessha","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7195099","Em Powers","Elijah Schipper","Amy Kim","","","","","","","","","","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya","Hiwote Hailu"
"7195164","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","Pierce Cunningham","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7195511","Juliann Seeley","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Amy Kim","Em Powers","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Pierce Cunningham","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7195624","Elijah Schipper","Amy Kim","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Em Powers","","","","","","","Gracen Juffer","Surafel Zeleke","Pierce Cunningham","Asmeret Abebe","Susana Gebrekidan","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7195710","Juliann Seeley","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Elijah Schipper","","","","","","","Issie Ventura","Surafel Zeleke","Pierce Cunningham","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7196398","Elijah Schipper","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Amy Kim","","","","","","","","","","","","","","Avery Gilman","Isha Hooda","Raleigh Lunderman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7196446","Amy Kim","Elijah Schipper","Nyamal Changson","Em Powers","May Utonwa Oji","Juliann Seeley","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7196562","Amy Kim","Nyamal Changson","Em Powers","Juliann Seeley","May Utonwa Oji","Elijah Schipper","","","","","","","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","Gracen Juffer","Pierce Cunningham","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7196847","Juliann Seeley","Elijah Schipper","Amy Kim","Nyamal Changson","May Utonwa Oji","Em Powers","","","","","","","Gracen Juffer","Pierce Cunningham","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7196909","Juliann Seeley","Nyamal Changson","Elijah Schipper","Amy Kim","May Utonwa Oji","Em Powers","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7197090","Em Powers","Elijah Schipper","Amy Kim","May Utonwa Oji","Nyamal Changson","Juliann Seeley","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Domanic Dick","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
